S.No.,num_words,num_characters,num_misspelled,bin_end_qmark,num_interrogative,bin_start_small,num_sentences,num_punctuations,label
1,10,48,2,0,0,0,2,4,B
2,8,25,0,0,0,1,1,0,B
3,20,81,0,1,19,0,1,1,B
4,9,34,1,0,1,0,1,2,B
5,18,69,3,0,1,0,1,0,B
6,7,39,1,0,0,0,1,2,B
7,10,46,4,0,2,1,2,2,B
8,14,70,5,0,0,0,2,16,B
9,0,46,0,0,0,0,1,0,B
10,31,173,26,0,0,1,3,7,B
11,22,90,1,0,1,0,2,9,B
12,8,48,0,1,1,0,1,1,B
13,9,56,5,0,0,0,2,1,B
14,9,41,0,1,0,0,1,1,B
501,79,345,4,0,1,0,9,20,G
502,4,17,2,0,1,1,1,0,G
503,169,831,17,0,1,0,13,48,G
504,25,124,4,0,1,0,4,6,G
505,9,25,0,0,0,0,1,2,G
506,22,103,1,0,0,0,2,4,G
507,44,196,4,0,1,0,6,14,G
508,7,47,0,0,1,0,1,0,G
509,34,118,0,1,1,0,2,2,G
510,17,93,1,0,1,0,1,0,G
511,76,329,3,0,3,0,8,9,G
512,13,44,0,0,1,0,1,0,G
513,10,35,0,0,1,0,1,0,G
514,52,201,1,0,1,0,1,0,G
